ANSWER_SEALED[CF_SPANNL_0]: Edf927fff26b1
ANSWER_SEALED[CF_SPANNL_1]: E115b0994b879
ANSWER_SEALED[CF_SPANNL_2]: E8520ca1320d1
ANSWER_SEALED[CF_SPANNL_3]: Ec2bf87b1ef2e
ANSWER_SEALED[CF_SPANNL_4]: E123b144402fc
ANSWER_SEALED[CF_SPANNL_5]: E019e2f6f3ae1
ANSWER_SEALED[CF_SPANNL_6]: E41fe7e44af3b
ANSWER_SEALED[CF_SPANNL_7]: Ecaa8aa1d0a77
ANSWER_SEALED[CF_SPANNL_8]: E0df7028c68f5
ANSWER_SEALED[CF_SPANNL_9]: Ea7bce2782dd9
ANSWER_SEALED[CF_SPANNL_10]: Eaabbec670544
ANSWER_SEALED[CF_SPANNL_11]: E0a30a7e25791
